Code;Libellé;Emplois, total 2021;Population résidante 2022;Densité d'habitants 2021
01381;Saint-Nizier-le-Désert;110;922;36.9
01382;Sainte-Olive;48;357;44.8
01383;Saint-Paul-de-Varax;346;1637;63.2
01384;Saint-Rambert-en-Bugey;610;2179;76.1
01385;Saint-Rémy;232;922;127.8
01386;Saint-Sorlin-en-Bugey;282;1140;124
01387;Saint-Sulpice;20;259;49.4
01388;Saint-Trivier-de-Courtes;585;1122;67.7
01389;Saint-Trivier-sur-Moignans;454;1910;44.2
01390;Saint-Vulbas;8971;1229;57.6
01391;Salavre;85;295;36.6
01392;Samognat;30;645;47.1
01393;Sandrans;93;578;19.5
01396;Sault-Brénaz;235;1007;177.7
01397;Sauverny;71;1003;524.9
01398;Savigneux;316;1459;98.2
01399;Ségny;486;2676;744.4
01400;Seillonnaz;10;136;14.3
01401;Sergy;134;2279;234.5
01402;Sermoyer;73;659;38.8
01403;Serrières-de-Briord;213;1329;163.4
01404;Serrières-sur-Ain;10;135;16.4
01405;Servas;536;1287;97.3
01406;Servignat;15;180;21.9
01407;Seyssel;150;997;417.1
01408;Simandre-sur-Suran;199;664;40.2
01410;Sonthonnax-la-Montagne;40;287;20.7
01411;Souclin;39;263;20.2
01412;Sulignat;113;605;56.3
01415;Talissieu;139;514;108.1
01416;Tenay;196;1024;77.2
01418;Thil;250;1208;224.5
01419;Thoiry;1814;6356;212.1
01420;Thoissey;751;1644;1235.1
01421;Torcieu;256;744;69.4
01422;Tossiat;593;1389;132.9
01423;Toussieux;97;1228;252.7
01424;Tramoyes;256;1845;142.5
01425;La Tranclière;50;288;19.4
01426;Val-Revermont;797;2494;55
01427;Trévoux;3889;6931;1216.6
01428;Valeins;5;131;30
01429;Vandeins;35;725;76.3
01430;Varambon;71;664;81.9
01431;Vaux-en-Bugey;287;1218;150.1
01432;Verjon;38;343;66.3
01433;Vernoux;90;296;29.5
01434;Versailleux;105;500;26.3
01435;Versonnex;174;2222;362.8
01436;Vesancy;24;513;46.9
01437;Vescours;10;215;17.5
